2025-10-19T12:34:42.379920,page_load
2025-10-19T12:34:45.233506,tap
2025-10-19T12:35:06.608901,no
2025-10-19T12:35:09.540856,no
2025-10-19T12:35:10.774890,no
2025-10-19T12:35:11.357007,no
2025-10-19T12:35:12.294564,no
2025-10-19T12:35:13.739919,no
2025-10-19T12:35:14.723616,no
2025-10-19T12:35:15.339616,no
2025-10-19T12:35:15.939996,no
2025-10-19T12:35:17.764759,no
2025-10-19T12:35:19.288172,no
2025-10-19T12:35:19.292868,no
2025-10-19T12:35:20.834152,no
2025-10-19T12:35:21.474913,no
2025-10-19T12:35:21.862262,no
2025-10-19T12:35:23.088016,yes
2025-10-19T12:58:29.920006,page_load
2025-10-19T12:58:39.123608,tap
2025-10-19T12:59:16.548202,step1_yes
2025-10-19T12:59:55.354109,yes
2025-10-19T13:03:59.235477,page_load
2025-10-19T13:04:07.480953,tap
2025-10-19T13:04:11.697291,no
2025-10-19T13:04:15.467384,no
2025-10-19T13:04:15.514614,no
2025-10-19T13:04:15.566399,no
2025-10-19T13:04:19.235060,no
2025-10-19T13:04:22.856813,step1_yes
2025-10-19T13:04:54.102302,yes
2025-10-19T13:05:08.547949,no
2025-10-19T13:05:17.680704,no
2025-10-19T13:05:23.884224,yes
2025-10-19T13:07:02.272941,page_load
2025-10-19T13:07:05.876261,tap
2025-10-19T13:07:11.663773,step1_yes
2025-10-19T13:07:28.505601,yes
2025-10-19T13:15:24.483252,page_load
2025-10-19T13:15:30.087202,tap
2025-10-19T13:15:37.920619,step1_yes
2025-10-19T13:17:30.505487,page_load
2025-10-19T13:17:36.380463,tap
2025-10-19T13:17:43.083227,step1_yes
2025-10-19T13:17:53.838650,yes
2025-10-19T13:18:08.654914,no
2025-10-19T13:18:14.424210,yes
2025-10-19T14:02:38.363824,page_load
2025-10-19T14:02:42.441649,tap
2025-10-19T14:02:51.308233,no
2025-10-19T14:02:54.368604,step1_yes
2025-10-19T14:03:01.028626,no
2025-10-19T14:03:02.825062,no
2025-10-19T14:03:03.475441,no
2025-10-19T14:03:03.958560,no
2025-10-19T14:03:04.040809,no
2025-10-19T14:03:04.608140,no
2025-10-19T14:03:05.457767,no
2025-10-19T14:03:07.970719,yes
